treatment,time,par,temp
LTVLLV,0,0,17.71
LTVLLV,1,0,17.7
LTVLLV,2,0,17.68
LTVLLV,3,0,17.67
LTVLLV,4,0,17.65
LTVLLV,5,0,17.65
LTVLLV,6,133.8074875,18.85
LTVLLV,7,158.9732162,20.36
LTVLLV,8,396.0965228,22.62
LTVLLV,9,435.4938229,25.17
LTVLLV,10,439.757573,25.49
LTVLLV,11,442.4969688,25.51
LTVLLV,12,434.4555762,25.53
LTVLLV,13,440.224161,25.34
LTVLLV,14,446.9509679,25.31
LTVLLV,15,428.5825088,25.32
LTVLLV,16,439.3584591,25.32
LTVLLV,17,440.3247736,25.54
LTVLLV,18,443.1061057,25.61
LTVLLV,19,439.2295707,25.71
LTVLLV,20,206.2194928,23.11
LTVLLV,21,162.5100538,20.8
LTVLLV,22,26.44907203,19.12
LTVLLV,23,0,17.76
LTVHLV,0,0,17.71
LTVHLV,1,0,17.7
LTVHLV,2,0,17.69
LTVHLV,3,0,17.69
LTVHLV,4,0,17.67
LTVHLV,5,0,17.67
LTVHLV,6,67.28962696,18.84
LTVHLV,7,79.94917958,20.18
LTVHLV,8,205.100137,22.32
LTVHLV,9,228.9206796,24.59
LTVHLV,10,393.6425105,25.07
LTVHLV,11,426.1363683,25.26
LTVHLV,12,765.2585353,25.7
LTVHLV,13,833.0625431,25.84
LTVHLV,14,835.3564527,28.86
LTVHLV,15,836.2936166,25.89
LTVHLV,16,494.406484,25.48
LTVHLV,17,430.0531913,25.36
LTVHLV,18,262.0996516,25.19
LTVHLV,19,232.4726775,25.11
LTVHLV,20,107.4992508,22.51
LTVHLV,21,84.8206437,20.47
LTVHLV,22,14.26553759,18.86
LTVHLV,23,0,17.7
HTVLLV,0,0,18.58
HTVLLV,1,0,18.57
HTVLLV,2,0,18.56
HTVLLV,3,0,18.55
HTVLLV,4,0,18.55
HTVLLV,5,0,18.54
HTVLLV,6,139.2097969,20.41
HTVLLV,7,161.4168702,21.65
HTVLLV,8,399.767309,23.53
HTVLLV,9,428.4630178,24.55
HTVLLV,10,433.8863602,26.19
HTVLLV,11,453.0699551,27.08
HTVLLV,12,442.9757219,30
HTVLLV,13,444.0536589,31.74
HTVLLV,14,438.6873365,31.79
HTVLLV,15,435.9229576,31.81
HTVLLV,16,444.7386741,28.71
HTVLLV,17,438.0562331,27.07
HTVLLV,18,433.0688969,25.36
HTVLLV,19,431.2742338,24.57
HTVLLV,20,196.6584148,22.52
HTVLLV,21,160.7446378,21.74
HTVLLV,22,21.41949596,19.67
HTVLLV,23,0,18.55
HTVHLV,0,0,18.33
HTVHLV,1,0,18.32
HTVHLV,2,0,18.3
HTVHLV,3,0,18.3
HTVHLV,4,0,18.29
HTVHLV,5,0,18.28
HTVHLV,6,70.24719771,20
HTVHLV,7,80.62320514,21.06
HTVHLV,8,218.5997037,22.67
HTVHLV,9,241.7248039,23.49
HTVHLV,10,418.4316011,25.34
HTVHLV,11,446.3782316,26.26
HTVHLV,12,818.5951093,29.6
HTVHLV,13,874.0327494,31.4
HTVHLV,14,872.927766,31.5
HTVHLV,15,875.9438227,31.53
HTVHLV,16,504.224965,28.09
HTVHLV,17,450.3000409,26.39
HTVHLV,18,270.0836336,24.45
HTVHLV,19,243.7063758,23.59
HTVHLV,20,102.824802,21.74
HTVHLV,21,79.12213763,21.17
HTVHLV,22,10.74983042,19.26
HTVHLV,23,0,18.32
